title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,directorid,actorid,budget,num_directors,num_actors,actor_rev5,actor_rev10,director_films5,actor_films5,actor_films10,director_rev10,director_films10,director_rev5
Scooby-Doo,2002,PG,2002-06-14,86,Adventure,Raja Gosnell,"James Gunn, Craig Titley, William Hanna","Matthew Lillard, Freddie Prinze Jr., Sarah Michelle Gellar","After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.",English,"United States, Australia",5 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BMTg4MzMzMTY0OF5BMl5BanBnXkFtZTYwNzM3MTg2._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",35.0,5.2,"120,810",tt0267913,movie,26 Dec 2011,153322074,,,True,['nm0331532'],"['nm0000498', 'nm0005327', 'nm0001264']",84000000.0,1,3,0,0,0,0,0,0,0,0
Die Another Day,2002,PG-13,2002-11-22,133,Action,Lee Tamahori,"Ian Fleming, Neal Purvis, Robert Wade","Pierce Brosnan, Halle Berry, Rosamund Pike","James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.","English, Korean, Cantonese, Spanish, German, Icelandic, Italian, Arabic","United Kingdom, United States",6 wins & 36 nominations,https://m.media-amazon.com/images/M/MV5BMDlmY2Y2ZWQtNTZjMy00NGRkLTlkMjctMjA1MzdjMmI1NTQ1XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",56.0,6.1,"225,196",tt0246460,movie,01 Oct 2016,160942139,,,True,['nm0848414'],"['nm0000112', 'nm0000932', 'nm0683253']",142000000.0,1,3,31273922,31273922,0,1,1,0,0,0
Lilo & Stitch,2002,PG,2002-06-21,85,Animation,"Dean DeBlois, Chris Sanders","Chris Sanders, Dean DeBlois","Daveigh Chase, Chris Sanders, Tia Carrere","A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a m...","English, Hawaiian","United States, Japan",Nominated for 1 Oscar. 12 wins & 28 nominations total,https://m.media-amazon.com/images/M/MV5BYTY5MGE4MjEtNTMzYy00ODAxLWFiNDQtNzhlOGJiZWIzNDhkXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.3/10'}",74.0,7.3,"203,784",tt0275847,movie,01 Jan 2014,145794338,,,True,"['nm0213450', 'nm0761498']","['nm0153738', 'nm0761498', 'nm0000119']",80000000.0,2,3,0,0,0,0,0,0,0,0
xXx,2002,PG-13,2002-08-09,124,Action,Rob Cohen,Rich Wilkes,"Vin Diesel, Asia Argento, Marton Csokas","The US government recruits extreme sports athlete Xander Cage to infiltrate a Russian criminal ring, which is plotting the destruction of the world.","English, German, Spanish, Russian, Czech",United States,4 wins & 14 nominations,https://m.media-amazon.com/images/M/MV5BYjYwMzg4MTAtYTQ3NC00MjdlLWEzNGEtNzQwYzA3OGZmZWYyXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",48.0,5.8,"184,129",tt0295701,movie,16 Apr 2012,142109382,,,True,['nm0003418'],"['nm0004874', 'nm0000782', 'nm0190744']",70000000.0,1,3,0,0,0,0,0,0,0,0
The Santa Clause 2,2002,G,2002-11-01,104,Comedy,Michael Lembeck,"Don Rhymer, Cinco Paul, Ken Daurio","Tim Allen, Spencer Breslin, Elizabeth Mitchell","Scott Calvin has been a humble Santa Claus for eight years, but it might come to an end if he doesn't find a Mrs. Claus.",English,"United States, Canada",1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BNjU0Njk5MTA2Nl5BMl5BanBnXkFtZTYwODkzMzQ3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",48.0,5.7,"61,306",tt0304669,movie,05 Dec 2016,139236327,,,True,['nm0501185'],"['nm0000741', 'nm0107748', 'nm0593310']",65000000.0,1,3,7267307,7267307,0,1,1,0,0,0
Minority Report,2002,PG-13,2002-06-21,145,Action,Steven Spielberg,"Scott Frank, Jon Cohen, Philip K. Dick","Tom Cruise, Colin Farrell, Samantha Morton","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.","English, Swedish",United States,Nominated for 1 Oscar. 20 wins & 91 nominations total,https://m.media-amazon.com/images/M/MV5BZTI3YzZjZjEtMDdjOC00OWVjLTk0YmYtYzI2MGMwZjFiMzBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",80.0,7.6,"570,979",tt0181689,movie,01 Aug 2013,132072926,,,True,['nm0000229'],"['nm0000129', 'nm0268199', 'nm0608090']",102000000.0,1,3,112461594,112461594,0,2,2,0,0,0
The Ring,2002,PG-13,2002-10-18,115,Horror,Gore Verbinski,"Ehren Kruger, Kôji Suzuki, Hiroshi Takahashi","Naomi Watts, Martin Henderson, Brian Cox",A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it.,English,"United States, Japan",14 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BNDA2NTg2NjE4Ml5BMl5BanBnXkFtZTYwMjYxMDg5._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",57.0,7.1,"364,669",tt0298130,movie,04 Oct 2016,129128133,,,True,['nm0893659'],"['nm0915208', 'nm0376540', 'nm0004051']",48000000.0,1,3,0,0,0,0,0,0,0,0
Mr. Deeds,2002,PG-13,2002-06-28,96,Comedy,Steven Brill,"Clarence Budington Kelland, Robert Riskin, Tim Herlihy","Adam Sandler, Winona Ryder, John Turturro","A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way.",English,United States,5 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMTU3NTE3M2QtNWQ0MS00ZmRkLWIwNTMtOTA0ZGM5N2UwMWNjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",24.0,5.8,"149,395",tt0280590,movie,16 Apr 2012,126293452,,,True,['nm0109359'],"['nm0001191', 'nm0000213', 'nm0001806']",50000000.0,1,3,0,0,0,0,0,0,0,0
Sweet Home Alabama,2002,PG-13,2002-09-27,108,Comedy,Andy Tennant,"Douglas J. Eboch, C. Jay Cox","Reese Witherspoon, Patrick Dempsey, Josh Lucas",A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.,English,United States,3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BMjEwMjIwMDQ4OV5BMl5BanBnXkFtZTYwNzc3OTY3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",45.0,6.2,"119,747",tt0256415,movie,01 Jan 2014,127223418,,,True,['nm0855035'],"['nm0000702', 'nm0001131', 'nm0524197']",30000000.0,1,3,0,0,0,0,0,0,0,0
The Bourne Identity,2002,PG-13,2002-06-14,119,Action,Doug Liman,"Tony Gilroy, William Blake Herron, Robert Ludlum","Franka Potente, Matt Damon, Chris Cooper","A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.","English, French, German, Dutch, Italian, Yoruba","United States, Germany, Czech Republic",3 wins & 6 nominations,https://m.media-amazon.com/images/M/MV5BM2JkNGU0ZGMtZjVjNS00NjgyLWEyOWYtZmRmZGQyN2IxZjA2XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",68.0,7.8,"563,669",tt0258463,movie,22 Jul 2015,121661683,,,True,['nm0510731'],"['nm0004376', 'nm0000354', 'nm0177933']",60000000.0,1,3,73280117,73280117,0,1,1,0,0,0
The Sum of All Fears,2002,PG-13,2002-05-31,124,Action,Phil Alden Robinson,"Tom Clancy, Paul Attanasio, Daniel Pyne","Ben Affleck, Morgan Freeman, Ian Mongrain","CIA analyst Jack Ryan must stop the plans of a Neo-Nazi faction that threatens to induce a catastrophic conflict between the United States and Russia's President by detonating a nuclear weapon at a football game in Baltimore, Mary...","English, Russian, Ukrainian, German, Arabic","United States, Germany, Canada",2 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZmFiZDkyYWQtMGNkZi00YmZkLThjNzAtY2U1YTVmYmNlNThmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",45.0,6.4,"121,832",tt0164184,movie,21 Jun 2010,118907036,,,True,['nm0004675'],"['nm0000255', 'nm0000151', 'nm1172817']",68000000.0,1,3,108362465,108362465,0,2,2,0,0,0
8 Mile,2002,R,2002-11-08,110,Drama,Curtis Hanson,Scott Silver,"Eminem, Brittany Murphy, Kim Basinger","Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",English,"United States, Germany",Won 1 Oscar. 17 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BZDE3NDZmMGUtZjhjOS00MmIyLTkyMzAtMzM4ZjNhZThiY2ViXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",77.0,7.2,"308,224",tt0298203,movie,15 Jun 2012,116750901,,,True,['nm0000436'],"['nm0004896', 'nm0005261', 'nm0000107']",41000000.0,1,3,0,0,0,0,0,0,0,0
Black Hawk Down,2001,R,2002-01-18,144,Action,Ridley Scott,"Mark Bowden, Ken Nolan","Josh Hartnett, Ewan McGregor, Tom Sizemore","The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.","English, Somali, Arabic","United States, United Kingdom",Won 2 Oscars. 11 wins & 37 nominations total,https://m.media-amazon.com/images/M/MV5BYWMwMzQxZjQtODM1YS00YmFiLTk1YjQtNzNiYWY1MDE4NTdiXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",74.0,7.7,"412,613",tt0265086,movie,10 Mar 2016,108638745,,,True,['nm0000631'],"['nm0001326', 'nm0000191', 'nm0001744']",92000000.0,1,3,0,0,0,0,0,0,0,0
Road to Perdition,2002,R,2002-07-12,117,Crime,Sam Mendes,"Max Allan Collins, Richard Piers Rayner, David Self","Tom Hanks, Tyler Hoechlin, Rob Maxey","A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",English,United States,Won 1 Oscar. 23 wins & 82 nominations total,https://m.media-amazon.com/images/M/MV5BNjcxMmQ0MmItYTkzYy00MmUyLTlhOTQtMmJmNjE3MDMwYjdlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",72.0,7.7,"278,364",tt0257044,movie,01 Aug 2013,104454762,,,True,['nm0005222'],"['nm0000158', 'nm0388382', 'nm1005576']",80000000.0,1,3,0,0,0,0,0,0,0,0
Panic Room,2002,R,2002-03-29,112,Crime,David Fincher,David Koepp,"Jodie Foster, Kristen Stewart, Forest Whitaker","A divorced woman and her diabetic daughter take refuge in their newly-purchased house's safe room when three men break-in, searching for a missing fortune.",English,United States,1 win & 9 nominations,https://m.media-amazon.com/images/M/MV5BNmY4ZGFjYTYtMDNmYi00ZDM4LWFjYTgtNmNlZjBmMzg0MzQ3XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",65.0,6.8,"289,686",tt0258000,movie,16 Apr 2012,96397334,,,True,['nm0000399'],"['nm0000149', 'nm0829576', 'nm0001845']",48000000.0,1,3,0,0,0,0,0,0,0,0
Red Dragon,2002,R,2002-10-04,124,Crime,Brett Ratner,"Thomas Harris, Ted Tally","Anthony Hopkins, Edward Norton, Ralph Fiennes","A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter.","English, French","Germany, United States",4 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BOTAwZDI1OTctN2Q5YS00OGNiLWIyMmUtYWM4ZGFjYWYyYzJjXkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",60.0,7.2,"283,653",tt0289765,movie,08 May 2015,93149898,,,True,['nm0711840'],"['nm0000164', 'nm0001570', 'nm0000146']",78000000.0,1,3,38524852,38524852,0,2,2,0,0,0
The Scorpion King,2002,PG-13,2002-04-19,92,Action,Chuck Russell,"Stephen Sommers, Jonathan Hales, William Osborne","Dwayne Johnson, Steven Brand, Michael Clarke Duncan","A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown.",English,"United States, Germany, Belgium",2 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMjkxNTAwNTQ0M15BMl5BanBnXkFtZTYwMTQwMjM3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",45.0,5.5,"142,990",tt0277296,movie,24 Aug 2015,91047077,,,True,['nm0751080'],"['nm0425005', 'nm0104526', 'nm0003817']",60000000.0,1,3,0,0,0,0,0,0,0,0
Spy Kids 2: Island of Lost Dreams,2002,PG,2002-08-07,100,Action,Robert Rodriguez,Robert Rodriguez,"Alexa PenaVega, Daryl Sabara, Antonio Banderas","The Cortez siblings set out for a mysterious island, where they encounter a genetic scientist and a set of rival spy kids.",English,United States,3 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BNWM2N2JjYzYtYWIyNS00NDc3LWFkNDctMmYwOWQyZTcxYjZhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.3/10'}",66.0,5.3,"71,134",tt0287717,movie,23 May 2016,85846429,,,True,['nm0001675'],"['nm0891786', 'nm0754512', 'nm0000104']",38000000.0,1,3,0,0,0,0,0,0,0,0
Blade II,2002,R,2002-03-22,117,Action,Guillermo del Toro,"Marv Wolfman, Gene Colan, David S. Goyer","Wesley Snipes, Kris Kristofferson, Ron Perlman","Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires.","English, Romanian, Czech","United States, Germany",6 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BOWVjZTIzNDYtNTBlNC00NTJjLTkzOTEtOTE0MjlhYzI2YTcyXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",52.0,6.7,"228,405",tt0187738,movie,25 Apr 2009,82348319,,,True,['nm0868219'],"['nm0000648', 'nm0001434', 'nm0000579']",54000000.0,1,3,0,0,0,0,0,0,0,0
Snow Dogs,2002,PG,2002-01-18,99,Adventure,Brian Levant,"Jim Kouf, Tommy Swerdlow, Michael Goldberg","Cuba Gooding Jr., James Coburn, Sisqó","When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man.",English,"Canada, United States",1 win,https://m.media-amazon.com/images/M/MV5BZDhkYmUwZDAtNzBhZi00ODM4LWI3NWMtODcwM2U5OGZhNWM0XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",29.0,5.2,"28,008",tt0281373,movie,01 Jul 2016,81172560,,,True,['nm0505152'],"['nm0000421', 'nm0000336', 'nm0005437']",33000000.0,1,3,0,0,0,0,0,0,0,0
We Were Soldiers,2002,R,2002-03-01,138,Action,Randall Wallace,"Harold G. Moore, Joseph Lee Galloway, Randall Wallace","Mel Gibson, Madeleine Stowe, Greg Kinnear","The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.","English, Vietnamese, French","France, Germany, United States",3 wins & 5 nominations,https://m.media-amazon.com/images/M/MV5BZTk3NTc4MTktNjFmZC00ZjdjLWE0ZjgtNTM4NzdmMDBjOTcxXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",65.0,7.1,"147,905",tt0277434,movie,06 Jun 2014,78122718,,,True,['nm0908824'],"['nm0000154', 'nm0000656', 'nm0001427']",75000000.0,1,3,0,0,0,0,0,0,0,0
Barbershop,2002,PG-13,2002-09-13,102,Comedy,Tim Story,"Mark Brown, Don D. Scott, Marshall Todd","Ice Cube, Cedric The Entertainer, Eve",A day in the life of a South Side Chicago barbershop.,English,United States,1 win & 17 nominations,https://m.media-amazon.com/images/M/MV5BY2U1OWQzYjctOGJjMS00YTYzLWE5YjUtNjg1NWI3OTQyMWE5XkEyXkFqcGdeQXVyNjk1Njg5NTA@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",66.0,6.3,"32,781",tt0303714,movie,29 Mar 2016,75782105,,,True,['nm1103162'],"['nm0001084', 'nm0147825', 'nm1073992']",12000000.0,1,3,25916319,25916319,0,1,1,0,0,0
The Rookie,2002,G,2002-03-29,127,Drama,John Lee Hancock,Mike Rich,"Dennis Quaid, JD Evermore, Rachel Griffiths",A Texas baseball coach makes the major league after agreeing to try out if his high school team made the playoffs.,English,United States,5 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BNDYyODhiNmQtYzI2Ni00NDRjLWIwYzYtN2M5MjM4YTYwNzM4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.9/10'}",72.0,6.9,"36,322",tt0265662,movie,08 Jul 2016,75600072,,,True,['nm0359387'],"['nm0000598', 'nm0263625', 'nm0341737']",22000000.0,1,3,0,0,0,0,0,0,0,0
Spirit: Stallion of the Cimarron,2002,G,2002-05-24,83,Animation,"Kelly Asbury, Lorna Cook","John Fusco, Michael Lucker","Matt Damon, James Cromwell, Daniel Studi","A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.",English,"United States, Canada",Nominated for 1 Oscar. 10 wins & 22 nominations total,https://m.media-amazon.com/images/M/MV5BMTgyOTUzNDA1N15BMl5BanBnXkFtZTYwNjgwMDM3._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",52.0,7.2,"81,884",tt0166813,movie,25 Nov 2015,73280117,,,True,"['nm0038432', 'nm0177170']","['nm0000354', 'nm0000342', 'nm0836070']",80000000.0,2,3,0,0,0,0,0,0,0,0
